Approach,# Train,# Test,Cut,% Cut,Cut Seconds,HPO Seconds,Train Seconds,Total Seconds,T_MAPE,T_MAE,T_MSE,UR_MAPE,UR_MAE,UR_MSE,V_MAPE,V_MAE,V_MSE,P_MAPE,P_MAE,P_MSE,Avg_MAPE,Avg_MAE,Avg_MSE
Full,7012,1754,N/A,N/A,N/A,440.25743889808655,19.275052070617676,459.5324909687042,0.11264921204792046,0.08824390518883919,0.013461359934251339,0.2520673070709245,0.1447718006867167,0.03121082514291545,0.43750592663185434,0.07160593232360647,0.006797789291568377,1.5233219410333305,0.02141765365987827,0.0018132965438333016,0.5813860966960072,0.0815098229647605,0.013320817728142116
Fixed Cut 5.0%,6662,1754,350,4.991443240159726,N/A,401.99748396873474,18.8283908367157,420.82587480545044,0.11957404628507094,0.09183967965729069,0.013563541045218152,0.25216100031211497,0.14331026554107665,0.03085159568282191,0.4719717969851092,0.08487364112409647,0.009084094913644116,2.302465486750286,0.017859106329644325,0.0018889200318416158,0.7865430825831451,0.08447067316302725,0.01384703791838146
Fixed Cut 10.0%,6311,1754,701,9.997147746719909,N/A,400.77252292633057,10.054437160491943,410.8269600868225,0.1385684793624345,0.10237283739838342,0.015121911555889902,0.25491972891466913,0.14499499897976106,0.03146563431857895,0.4431966420842491,0.07363743805259344,0.007168316445167529,1.901072846760669,0.020006742900515583,0.0018878522737905438,0.6844394242805053,0.08525300433281371,0.013910928648356738
Fixed Cut 15.0%,5961,1754,1051,14.988590986879636,N/A,416.9505488872528,21.008589029312134,437.95913791656494,0.14560626939669183,0.10605132053764237,0.015778343703619357,0.2544711685413391,0.14235245534126786,0.030873974546593342,0.4372837130962345,0.07160222345556336,0.006822367326988772,2.584186060422072,0.01838675735694125,0.0019321832476634326,0.8553868028640846,0.08459818917285404,0.013851717206216212
Fixed Cut 20.0%,5610,1754,1402,19.994295493439818,N/A,427.9634690284729,11.71740984916687,439.68087887763977,0.12879211009574046,0.09656680253024257,0.013910211764716464,0.25141823062638385,0.14633633994687675,0.03134588522706647,0.4609905167566867,0.08030662322699443,0.008246920507940878,1.7653698402754618,0.02158367946727493,0.0018760204371515957,0.6516426744385685,0.08619836129284741,0.013844759484218839
Fixed Cut 25.0%,5259,1754,1753,25.0,N/A,349.8216772079468,22.566799879074097,372.3884770870209,0.12210910307283085,0.09311728070222207,0.013612980072674915,0.25297375521198584,0.14071300760973457,0.0304541809520918,0.4810712738541131,0.08854794887290603,0.009782519607913135,1.2284307907712582,0.029867723318488547,0.0019830132783785924,0.5211462307275472,0.08806149012583805,0.013958173477764626
Fixed Cut 30.0%,4909,1754,2103,29.991443240159725,N/A,380.9074487686157,38.065656900405884,418.9731056690216,0.12521479631028323,0.0949402584562851,0.01392945418305432,0.25364675649991597,0.14452261855684478,0.0314046639442635,0.43123743820736127,0.06953478982736323,0.006491375409424527,1.2465256512942744,0.03575438111503765,0.002995215099185477,0.5141561605779587,0.08618801198888304,0.01370517715898194
Fixed Cut 35.0%,4558,1754,2454,34.99714774671991,N/A,383.321888923645,12.551150798797607,395.8730397224426,0.12171002135684067,0.09298858723500994,0.013606077865859153,0.2533092388851925,0.14872943142720066,0.03231939759357861,0.42319743730608866,0.06683334811251028,0.006088181023703923,2.4041577001461647,0.02119795284934232,0.0029039998194331585,0.8005935994235718,0.08243732990601615,0.013729414075643718
Fixed Cut 40.0%,4208,1754,2804,39.988590986879636,N/A,360.7609438896179,6.2117919921875,366.9727358818054,0.14162965152578774,0.10544377541889234,0.016972409471755018,0.24177252895043994,0.13691133051680748,0.027943301410666078,0.47041218862439566,0.08380778944017703,0.008889305347716973,10.628972269062636,0.021460536021440785,0.0028927096700734774,2.8706966595408128,0.08690585784932969,0.014174431475052892
Fixed Cut 45.0%,3857,1754,3155,44.994295493439814,N/A,291.4058051109314,11.841660976409912,303.2474660873413,0.1302030715562103,0.09829463751306593,0.014806007689973985,0.2577171724913033,0.1487053917297654,0.032866774036438146,0.46765784816090333,0.0827491354629337,0.008690398509125324,1.3181108672407782,0.033302580981494224,0.002940230430681837,0.5434222398622988,0.09076293642181509,0.014825852666554824
Fixed Cut 50.0%,3507,1754,3505,49.98573873359955,N/A,251.58691787719727,4.649649143218994,256.23656702041626,0.13034430449578116,0.09781247218337018,0.014522704746672523,0.25514878734504254,0.14205336079231726,0.030825049452003428,0.48454992647873113,0.09010715187619467,0.010146596620047264,1.3987798676594272,0.03375355766513785,0.0030279406244932963,0.5672057214947452,0.09093163562925517,0.01463057286080413
Fixed Cut 55.0%,3156,1754,3856,54.99144324015972,N/A,205.14192986488342,28.093015909194946,233.23494577407837,0.12535509441612866,0.0951793778425507,0.01404751974438485,0.2537021581969912,0.14504214203433363,0.03154493669865815,0.4882271000087828,0.09163139917846368,0.010411221337792863,1.1876565673135118,0.03803031420547032,0.0030613309679166385,0.5137352299838537,0.09247080831520477,0.014766252187188108
Fixed Cut 60.0%,2805,1754,4207,59.997147746719904,N/A,236.61518597602844,5.052687883377075,241.66787385940552,0.1423538794259007,0.1064061007825634,0.017154237320170528,0.24771848235677557,0.13965625983752997,0.029505169883722662,0.43590787501429934,0.0713695786906162,0.006827108623905741,1.4395233695477598,0.03368906652836004,0.003039580644227763,0.5663759015861838,0.08778025145976774,0.014131524118006675
Fixed Cut 65.0%,2455,1754,4557,64.98859098687963,N/A,228.20108199119568,3.47160005569458,231.67268204689026,0.13158739940777564,0.09882837730543616,0.014828355827197463,0.25204677637437345,0.14065581924408332,0.030032104209604168,0.40577212140446184,0.05776964377312139,0.004789801056889962,1.727529081763855,0.039226342260355436,0.004577081059821944,0.6292338447376166,0.08412004564574944,0.013556835538378392
Fixed Cut 70.0%,2104,1754,4908,69.99429549343982,N/A,221.44052577018738,6.28837513923645,227.72890090942383,0.13424733631806918,0.10026266821733171,0.01497599174519622,0.24869670487734463,0.14622667167104525,0.030796154656163803,0.395155463614785,0.054783386488755546,0.004301384290221362,1.2378163547365315,0.048000460429387486,0.004796583360656071,0.5039789648866828,0.08731829670163033,0.013717528513059385
Fixed Cut 75.0%,1753,1754,5259,75.0,N/A,213.1562979221344,7.123913764953613,220.280211687088,0.14424702272730472,0.10636172371960083,0.016543232611336788,0.24397986385714596,0.13363281387019035,0.027789487921223884,0.39282115160610753,0.05633495519751591,0.004662620001422964,1.441856825332732,0.04452780852590864,0.0045760004516364845,0.5557262158808225,0.08521432532830353,0.01339283524640503
Fixed Cut 80.0%,1403,1754,5609,79.99144324015973,N/A,181.09635496139526,35.88722491264343,216.9835798740387,0.12267483048355475,0.09366888834193782,0.013869650726920481,0.25260530590595665,0.13970547864014746,0.030241846580292418,0.39435838505002274,0.06278160227524167,0.005563222316803995,1.1643447154630795,0.04893924348738304,0.004690834169207731,0.4834958092256533,0.08627380318617708,0.013591388448306162
Fixed Cut 85.0%,1052,1754,5960,84.9971477467199,N/A,169.65879607200623,17.658593893051147,187.31738996505737,0.1295205231613935,0.09811403036635166,0.014489091522364632,0.2545234864549936,0.1416404990164861,0.030856562405545743,0.39979528934694725,0.06928464507456568,0.006962132295201206,1.105474417394135,0.055793327483167246,0.005168689614781532,0.4723284290893673,0.09120812548514211,0.014369118959473275
Fixed Cut 90.0%,702,1754,6310,89.98859098687963,N/A,149.18203496932983,8.568024158477783,157.75005912780762,0.14573184744769657,0.10850182936811285,0.01662277459398136,0.25337830132534234,0.14023918545468958,0.030600805639105454,0.40968727438275226,0.07337383513336974,0.0076466213277841715,1.0962832941882454,0.05451564380781873,0.005005715376038301,0.47627017933600924,0.09415762344099654,0.014968979234227301
Window L1,997,1754,6015,85.78151739874501,0.3375437259674072,167.8266282081604,6.638097047805786,174.8022689819336,0.12646555328637496,0.09683385853492707,0.014470315092041672,0.2576612313331915,0.14941309626090066,0.032999120901615074,0.40338051040906653,0.06980200559189134,0.00698925037730208,2.656237302433475,0.028746938336092362,0.004337288195479217,0.8609361493655271,0.08619897468095232,0.0146989936416095
Window L2,997,1754,6015,85.78151739874501,0.1612868309020996,171.24858212471008,8.106606245040894,179.51647520065308,0.13609684072723058,0.10204761153286576,0.015549875655432605,0.25129979239869454,0.14184035393424418,0.030272458027936485,0.40176882745681475,0.0696288914113048,0.006983154612959853,1.2214502647659604,0.047158563008029994,0.004654912726776115,0.5026539313371753,0.09016885497161065,0.01436510025577625
Window Normal,3807,1754,3205,45.70735881346263,0.6901278495788574,559.0480771064758,19.85065221786499,579.5888571739197,0.12377201714029142,0.09445635113637303,0.014010792456205729,0.25212951066307876,0.14530123724006694,0.03122173749976782,0.43908214310370003,0.07252747435431925,0.006989894652987537,1.4487121493409079,0.03219759057503877,0.0029878745210446555,0.5659239550619947,0.08612066332644983,0.013802574782501444
Window RBF,997,1754,6015,85.78151739874501,3.2698748111724854,266.26042127609253,10.922338247299194,280.4526343345642,0.11879854761869743,0.09231495786314624,0.01378011880658522,0.2519389088552745,0.1436657459447912,0.030940157946413624,0.3963805101182757,0.06462657893611957,0.005928172451747978,1.1675270085460692,0.04919188005079886,0.004711620816553844,0.48366124378457864,0.0874497906987134,0.013840017505325177
Window Cosine,997,1754,6015,85.78151739874501,1.8316981792449951,323.9312970638275,21.83674120903015,347.59973645210266,0.12144245189395451,0.09323713507658525,0.013582453180242345,0.25571936554791697,0.14906512597511556,0.03266682289710762,0.41256572644341793,0.07467552007675331,0.007807207396949978,1.3044595188763317,0.03950293918739785,0.00426612774049576,0.5235467656904054,0.08912018007896248,0.01458065280369891
Window Linear,3867,1754,3145,44.851682829435255,0.28922271728515625,475.8924307823181,10.30090594291687,486.48255944252014,0.12470572468953554,0.09484892976076817,0.014045072957582349,0.2580372968782299,0.14625151304770145,0.032278250096907955,0.4501180590752719,0.07650900145701564,0.007636101682541882,1.3519356398453959,0.03293799719066405,0.002940558156954946,0.5461991801221088,0.08763686036403766,0.014224995723496787
Window Clinear,5087,1754,1925,27.452937820878493,0.15835094451904297,512.4952881336212,12.897711038589478,525.5513501167297,0.1318906905098611,0.09872669641857254,0.01458846600631716,0.254996745105462,0.14035974007570878,0.03053290772309131,0.4829156219066902,0.08953461848627563,0.010031005822478428,1.706832974682077,0.024728849762466493,0.0028156810995109013,0.6441590080510226,0.08833747618575609,0.014492015162849438
Window Rank,952,1754,6060,86.42327438676554,0.24529409408569336,205.429260969162,6.638631105422974,212.31318616867065,0.13324995236204334,0.10074529687015492,0.015276581733379561,0.2540656412258621,0.1495486243771411,0.03245943227166522,0.4249417696699143,0.07920853577911892,0.008671139881450934,1.4119705050027649,0.03478164739119387,0.004138864115790679,0.5560569670651461,0.09107102610440161,0.015136504500571614
Window Mahalanobis,1002,1754,6010,85.71021106674273,0.6015689373016357,136.7494809627533,6.453203201293945,143.80425310134888,0.11826701279521074,0.09215833648339898,0.013911816733289083,0.2567314033708528,0.14907325104627042,0.032808696135180476,0.39773092059916,0.06423766515702177,0.005833866618647192,2.1196407919535813,0.029779049714198053,0.004350801630213321,0.7230925321797015,0.0838120756002218,0.014226295279332517
Window AR,997,1754,6015,85.78151739874501,0.21531915664672852,141.03825998306274,4.489179849624634,145.7427589893341,0.13161540806911728,0.09903558721541433,0.014458235326678006,0.2493836680480186,0.1404739104559569,0.029805781032275092,0.420407119847569,0.07726633885493406,0.008362737739855427,1.406103832908883,0.03566648470705234,0.0041878790885901095,0.5518775072183969,0.0881105803083389,0.014203658296849659
Window Mean,1970,1754,5042,71.90530519110096,7.800287246704102,174.0993309020996,6.652374029159546,188.55199217796326,0.1417605133061251,0.1047645524477113,0.015932592367685728,0.25289746355731796,0.14308942557688195,0.03092979332928712,0.41080980992048155,0.07216667231083936,0.007456473266954238,1.4036511550543398,0.03751626533412617,0.004293045116404674,0.552279735459566,0.0893842289173892,0.014652976020082947
Window Median,997,1754,6015,85.78151739874501,7.800287246704102,145.49869227409363,5.937560796737671,159.2365403175354,0.13170294661806012,0.09951929972192677,0.014818187518866422,0.2501039594126142,0.14315593277311872,0.03051991167300692,0.43912079076209143,0.0847667778078328,0.009650833893035626,1.1939395586325243,0.0495567233478369,0.00481893155159115,0.5037168138563225,0.0942496834126782,0.014951966159125044
Binary Segmentation L1,6922,1754,90,1.2835139760410725,1.4167389869689941,440.3859829902649,25.39655089378357,467.19927287101746,0.12408700517857174,0.09431142830126456,0.013855345492847502,0.25475285668881736,0.1406452557053918,0.03070128869456839,0.44893276348805905,0.07573600873376686,0.007438709648443774,1.8852876265000844,0.01897705911169216,0.0018527611803225914,0.6782650629638831,0.0824174379630292,0.013462026254045575
Binary Segmentation L2,6922,1754,90,1.2835139760410725,0.3670051097869873,407.1427309513092,12.646142959594727,420.1558790206909,0.1236443235324905,0.09402866149161103,0.01375191485260562,0.2552850123702934,0.14640283905637674,0.031930509950841166,0.47983108150115383,0.0879327364231663,0.009673032528798368,2.6496068048247055,0.016415236026019724,0.0018616140699913787,0.8770918055571614,0.08619486824929364,0.01430426785055913
Binary Segmentation Normal,1957,1754,5055,72.0907016543069,0.6729118824005127,182.56713104248047,5.700581312179565,188.94062423706055,0.13121783593219047,0.09916262742980106,0.01519002113732374,0.25249053768395935,0.13849759884675342,0.02972192570797473,0.4026062759514642,0.06969026368390957,0.006980497153294431,1.4574158022925419,0.038987780079393054,0.004399415501116023,0.5609326129650387,0.08658456750996385,0.014072964874927232
Binary Segmentation RBF,6922,1754,90,1.2835139760410725,98.78212213516235,370.2507379055023,16.343097686767578,485.37595772743225,0.1261607470298117,0.09549075005036964,0.01401509696049025,0.25508661920561077,0.14258534258000158,0.031073064424610775,0.4124341235652455,0.06322178394370032,0.00559742768044418,2.3049025370015195,0.016532016602702582,0.0018703765750736159,0.7746460067005473,0.07945747329419388,0.013138991410154732
Binary Segmentation Cosine,5727,1754,1285,18.325727324586424,78.74797177314758,398.84907388687134,34.82671499252319,512.4237606525421,0.12937457525031976,0.09737306184268167,0.014303936043198852,0.2533847678997053,0.14725628166479385,0.031870542713460674,0.4266717258938757,0.06795011561039342,0.006271835398461112,1.4128347257626115,0.024747678662397084,0.0018811103206061496,0.5555664487016281,0.0843317844450668,0.013581856118931703
Binary Segmentation Linear,1827,1754,5185,73.94466628636623,0.53635573387146,174.03921103477478,6.097611904144287,180.67317867279053,0.12239778753018367,0.0941871021365132,0.014343616701914027,0.25251174605016036,0.1431843400967532,0.030650615246341904,0.3951338256518626,0.06370667579802329,0.005826206185951967,1.4205989238227834,0.03647314461806243,0.004228550937526305,0.5476605707637476,0.08438781566233758,0.013762247267933547
Binary Segmentation Clinear,6832,1754,180,2.567027952082145,0.42661094665527344,339.6376268863678,13.363602876663208,353.4278407096863,0.1346872304412398,0.1004950385432095,0.014903240084747133,0.2559735045134146,0.14726083393975814,0.03229138103519399,0.40644916627405814,0.061186230288414384,0.0053465897215127485,1.1506379794000934,0.03381558184923337,0.002120041167338262,0.4869369701572014,0.08568942115515417,0.013665313002198032
Binary Segmentation Rank,6087,1754,925,13.191671420422132,0.4977848529815674,387.888619184494,52.17428207397461,440.5606861114502,0.12302839728995739,0.0938008448447905,0.013878644388189884,0.2524106007995389,0.1440137651182638,0.03119743741591681,0.4481587455243402,0.07524730966948251,0.007364358667773498,1.2506784040950267,0.028656444427850623,0.0019463492145049468,0.5185690369272156,0.08542959101509719,0.013596697421596285
Binary Segmentation Mahalanobis,5847,1754,1165,16.61437535653166,75.97341012954712,338.39783096313477,16.18461298942566,430.55585408210754,0.12589689382982122,0.09611260291160997,0.014664365843554848,0.25942741247330464,0.15399828044376274,0.034430858960859165,0.4363868441009217,0.0711157328929092,0.006770019296166542,1.1686310987118047,0.03196216910645177,0.0020457143037300473,0.49758556227896295,0.08829719633868378,0.014477739601077665
Binary Segmentation AR,6922,1754,90,1.2835139760410725,1.2998921871185303,438.17872524261475,35.816370725631714,475.294988155365,0.13583668314994582,0.10103799651102105,0.014928375986780096,0.25308464810939874,0.14483297770929968,0.031357816388396624,0.4454007066222376,0.07425115895250664,0.0072112389888668365,2.7433987820441086,0.01607741140440377,0.0019133873538745485,0.8944302049814223,0.0840498861443081,0.013852704679479532
Binary Segmentation Mean,5597,1754,1415,20.17969195664575,258.7208037376404,422.430477142334,30.411771059036255,711.5630519390106,0.11850262609614252,0.09144610259685704,0.013739340466724998,0.25249355077545527,0.14343391004101985,0.030987889686354235,0.479339327244182,0.0876505444327305,0.00957575126134509,1.3720872265793724,0.025144466681668916,0.0018728199202516188,0.5556056826737885,0.08691875593806929,0.01404395033366898
Binary Segmentation Median,6460,1754,552,7.872219053051912,258.7208037376404,344.99526810646057,29.733888149261475,633.4499599933624,0.12444029719566126,0.09456767287945907,0.013922258899025609,0.25362346950334813,0.1422842896327205,0.030888355003487338,0.4554955725736729,0.07808782197620676,0.007827507714226665,1.7846817099805663,0.020000805438496617,0.0018595051377205555,0.6545602623133122,0.08373514748172105,0.013624406688615049
Bottom Up L1,5427,1754,1585,22.60410724472333,0.200423002243042,321.91329884529114,10.058604955673218,332.1723268032074,0.1210442898165895,0.09237448439719714,0.013387872840847925,0.25407198917048157,0.1478517220411972,0.03204435209061514,0.41537833355626275,0.06444151987501329,0.0057866790238098225,1.212004887347343,0.031028641660068995,0.002026808142277287,0.5006248749726692,0.08392409199336952,0.013311428024387548
Bottom Up L2,987,1754,6025,85.92413006274957,0.10850286483764648,121.74019503593445,6.720982074737549,128.56967997550964,0.11847732848173594,0.09279010540767539,0.014288741880250906,0.2570527241470235,0.14988213240309248,0.0330071881496699,0.4146244985499017,0.07518463204150279,0.007967268129107686,1.4887479738814473,0.038389796365829267,0.004411068492879576,0.5697256312650272,0.08906166655452447,0.014918566662977023
Bottom Up Normal,6732,1754,280,3.993154592127781,0.20961475372314453,346.94131898880005,14.110800743103027,361.2617344856262,0.11429545680506077,0.08860692890533622,0.013063263530994889,0.2519523281384348,0.14257451837992216,0.03065519862391657,0.44893617886288556,0.07569107031337725,0.007469723976967104,24.856090815897478,0.01608043704289011,0.002009183560938931,6.417818694925962,0.08073823866038177,0.01329934242320437
Bottom Up RBF,6907,1754,105,1.4974329720479178,2.9118311405181885,348.3813099861145,6.456394910812378,357.74953603744507,0.12300196233865102,0.09306366127515625,0.013295490509313793,0.2464850819208996,0.14065746000308477,0.029389125716931794,0.47677796940744116,0.08804194748265168,0.009906687647892643,5.888784090531723,0.018479393776196132,0.0022143936461519894,1.68376227604968,0.08506061563427239,0.01370142438007256
Bottom Up Cosine,2042,1754,4970,70.87849401026811,1.1299388408660889,201.47500491142273,6.383437871932983,208.9883816242218,0.125512301919394,0.09518755647351307,0.013966055399243973,0.25725974374667115,0.14964675347558384,0.032988185923839564,0.4026499240029413,0.05935489387861614,0.005094749457670261,1.6902832807760133,0.034112213839974655,0.004325139259259408,0.618926312611255,0.08457535441692228,0.014093532510003297
Bottom Up Linear,1702,1754,5310,75.72732458642328,0.13442111015319824,149.9937391281128,5.942638874053955,156.07079911231995,0.11846718787882787,0.0908742017987191,0.013160562062839231,0.25490698559467884,0.14674962149269277,0.03202312330318946,0.38582268650198615,0.05749593187297333,0.004739921998198127,3.659776286467178,0.047454115288106904,0.005503157412337208,1.104743286610668,0.08564346761312261,0.013856691194141013
Bottom Up Clinear,6812,1754,200,2.852253280091272,0.09385323524475098,361.0806620121002,14.854886770248413,376.0294020175934,0.1258652629120796,0.09492761409896862,0.01366755157296486,0.2514589953729517,0.14587290130210184,0.03126349634117213,0.4048076764590799,0.06094562307076926,0.005328013134566481,1.1503299579958588,0.032970534077257974,0.0020726120467682366,0.48311547318499254,0.08367916813727473,0.013082918273867934
Bottom Up Rank,6047,1754,965,13.76212207644039,0.16456913948059082,330.66975021362305,9.817470073699951,340.6517894268036,0.14039473796796134,0.1029768642091582,0.015064860440254388,0.2519035095115757,0.14736241952241594,0.03164088177565639,0.3981157427895792,0.05607698066837118,0.004536272083892759,1.1615560665446396,0.03389021675373209,0.0021396987105090845,0.48799251420343914,0.08507662028841965,0.013345428252578177
Bottom Up Mahalanobis,5662,1754,1350,19.252709640616086,0.7298800945281982,354.6604518890381,8.77867579460144,364.1690077781677,0.13466849955509255,0.1000897671950932,0.014670891009052901,0.25296145434821266,0.14882937472072683,0.03216067658911122,0.4839152209086698,0.0898901858497635,0.010084140604280692,1.3406405585724632,0.025084580482749516,0.0018516440180613993,0.5530464333461096,0.0909734770620834,0.014691838055126544
Bottom Up AR,987,1754,6025,85.92413006274957,0.1608591079711914,132.87150478363037,3.567168712615967,136.59953260421753,0.13795344550530375,0.10328783736290537,0.015840962892071563,0.25583642014320457,0.14027073678545568,0.030571744294173923,0.42249101691399116,0.07752418246490475,0.008288558343748977,1.5207795399514128,0.03269579105683562,0.004132708605886372,0.5842651056284781,0.08844463691752485,0.014708493533970215
Bottom Up Mean,4331,1754,2681,38.234455219623506,5.84389328956604,294.01266598701477,18.834409952163696,318.6909692287445,0.12198706567218832,0.09357904953177937,0.014033855566595714,0.2541428563251559,0.14785223823713556,0.03212243309209935,0.46432878359407476,0.08134163635112752,0.008407619037478796,1.28670280791368,0.033066132551972216,0.0029049588510847682,0.5317903783762746,0.08895976416800395,0.014367216636814631
Bottom Up Median,5545,1754,1467,20.92127780946948,5.84389328956604,373.28651213645935,38.61128282546997,417.74168825149536,0.12531234863927973,0.09500031232734142,0.013906519518343033,0.2530959865248722,0.14272844676536697,0.030845595799870108,0.43981702511330995,0.07235763000740318,0.006911766819935445,4.189413516533635,0.019612278931051143,0.0022334198208429253,1.2519097192027748,0.08242466700779102,0.013474325489747876
