Approach,# Train,# Test,Cut,% Cut,Avg Cut Seconds,Std Cut Seconds,Avg Train Seconds,Std Train Seconds,Avg Total Seconds,Std Total Seconds,Avg V1_MAPE,Std V1_MAPE,Avg V1_MAE,Std V1_MAE,Avg V1_MSE,Std V1_MSE,Avg V2_MAPE,Std V2_MAPE,Avg V2_MAE,Std V2_MAE,Avg V2_MSE,Std V2_MSE,Avg V3_MAPE,Std V3_MAPE,Avg V3_MAE,Std V3_MAE,Avg V3_MSE,Std V3_MSE,Avg V4_MAPE,Std V4_MAPE,Avg V4_MAE,Std V4_MAE,Avg V4_MSE,Std V4_MSE,Avg Avg_MAPE,Std Avg_MAPE,Avg Avg_MAE,Std Avg_MAE,Avg Avg_MSE,Std Avg_MSE
Full,407,102,N/A,N/A,N/A,N/A,4.551723384857178,1.0145779756577393,4.551723384857178,1.0145779756577393,0.06672630509994808,0.03088647970466098,0.05991187196003597,0.027814094749301948,0.004916929885269594,0.003455134359250961,0.22484132743512247,0.020061399086749827,0.24225042474969857,0.022454296660043855,0.06334121935557162,0.013122840258476145,350724475439919.2,82279912322292.9,0.2778356505902269,0.008200806660481487,0.11284252015916954,0.009122701620509616,0.3215252990011813,0.0313180033612551,0.34610427185803466,0.01880812258828203,0.2518192643543491,0.02151409033071018,87681118859979.95,20569978080573.234,0.23152555478949902,0.008982944343945943,0.10822998343858996,0.0066205825615340925
Fixed Cut 5.0%,387,102,20,4.914004914004914,N/A,N/A,4.104072618484497,0.48661207472834983,4.104072618484497,0.48661207472834983,0.060387894084104846,0.021485400319242398,0.05404824172785032,0.019116580335183948,0.004397102121524705,0.002091248316739991,0.253443950008491,0.038827701959836806,0.27282504326491397,0.04275200963127196,0.08053777575425262,0.026667314560499627,410166554239821.4,98779907035732.66,0.2824935574644569,0.010404222651880544,0.11009733361740327,0.013042936398835895,0.3290883445668107,0.014245859385939825,0.3478379823095114,0.010413967293041405,0.25147168279693566,0.02671921193779095,102541638559955.5,24694976758933.168,0.2393012061916831,0.016963817792154515,0.11162597357252907,0.010366559772655807
Fixed Cut 10.0%,367,102,40,9.828009828009828,N/A,N/A,4.318677568435669,0.8111068131578049,4.318677568435669,0.8111068131578049,0.0393985173318899,0.014304559266324951,0.035109442161103205,0.012511541721843137,0.0017872460599835356,0.0010884460340421145,0.24964715011510502,0.03869074609012115,0.26824991621541766,0.04263351216494162,0.07742233742714999,0.02546744776023546,480945366707111.9,81784333753996.77,0.2827454202633234,0.008560113216321646,0.09946460146015644,0.007466570896622764,0.3131769099067632,0.011802097423563437,0.340652446373909,0.00917976308105263,0.246791644218,0.018500990665809576,120236341676778.12,20446083438499.19,0.23168930625343828,0.011213256832088838,0.10636645729132248,0.008039505252188663
Fixed Cut 15.0%,346,102,61,14.987714987714988,N/A,N/A,4.844517469406128,0.6350249052474821,4.844517469406128,0.6350249052474821,0.041866046145812075,0.012204859574968497,0.03783449312454027,0.010999646019949759,0.0020584096003282734,0.001031337076630394,0.24254091998245245,0.018698831249671217,0.260554716901501,0.020228716954085197,0.071377445588187,0.011249670088069678,381521229911715.06,111585232607304.08,0.2849712867457695,0.026872743766403872,0.11658956762860677,0.019043182978056062,0.30606022390464377,0.015406599101477752,0.34501998467366285,0.012969546253544002,0.2612938346733321,0.022181006519164208,95380307477928.92,27896308151826.023,0.23209512036136837,0.009796003798352356,0.1128298143726135,0.008688027563962728
Fixed Cut 20.0%,326,102,81,19.901719901719904,N/A,N/A,4.9520947456359865,0.9121207185759536,4.9520947456359865,0.9121207185759536,0.05990615497991375,0.030048398240708173,0.054602655902379345,0.028039126149386164,0.006046900402397785,0.0073725358151169726,0.22346909391297234,0.020293188891082146,0.24121376106686132,0.021891666710743423,0.06284920631083185,0.011104254802278992,322729849959702.4,92902436928937.98,0.28401316510745206,0.02256727152666956,0.1297371358208989,0.0276151302835258,0.29986063757958686,0.011049589526107328,0.35499557110097824,0.011377930245899313,0.2781183440892817,0.01802357270687765,80682462489925.75,23225609232234.484,0.23370628829441772,0.01303853947388438,0.11918789665585257,0.008722888224432611
Fixed Cut 25.0%,306,102,101,24.815724815724817,N/A,N/A,4.75209527015686,0.3434037062559796,4.75209527015686,0.3434037062559796,0.060374353203308966,0.024572457476965605,0.054572064464289874,0.022112636643975316,0.004328393879146848,0.0029207908459558726,0.221238566562583,0.039217314387391164,0.23806086308150334,0.0435886032475872,0.06239960742291986,0.0228505434987673,334673704698373.6,88955566455871.1,0.2824375754255255,0.004845049538322509,0.12129063866659612,0.014925152189183312,0.2982129083841078,0.013201890227574438,0.4163941344265057,0.021486849895454116,0.38601288598954037,0.039134624799172575,83668426174593.56,22238891613967.76,0.2478661593494561,0.01786115267159852,0.14350788148955076,0.015654257340392747
Fixed Cut 30.0%,285,102,122,29.975429975429975,N/A,N/A,5.001001310348511,0.18300330875269863,5.001001310348511,0.18300330875269863,0.06878850988753395,0.022569625317833426,0.06228079836654845,0.020565603532015038,0.005986544920817316,0.00284534903527443,0.21915727038667662,0.025214102728792064,0.2365936963816421,0.02786510366846626,0.061142407978266075,0.014305885685144053,373451533017209.0,105805112942775.72,0.28036807747005266,0.013324641108802838,0.11514204857849676,0.01953233767434507,0.3077431867533692,0.029543952618748072,0.42252863089985954,0.043190608304327874,0.39689233310043404,0.08401751516730106,93362883254302.4,26451278235693.93,0.2504428007795257,0.01254681747078462,0.14479083364450357,0.02317097023373109
Fixed Cut 35.0%,265,102,142,34.88943488943489,N/A,N/A,4.3461021900177,0.5463767063913691,4.3461021900177,0.5463767063913691,0.06449875977410988,0.02866577476285568,0.058523410384816406,0.025979797739783293,0.005323452641166545,0.0034361133869395804,0.20603303697965322,0.027911103314818362,0.22237067304232036,0.031242260818701673,0.05468956754039153,0.01830008557375892,367925003275331.1,81757723216987.67,0.2882288406371328,0.025358505364909977,0.1237524996859258,0.015314130634831051,0.2889138500984117,0.02780952990414382,0.405877011023382,0.03805447923396188,0.37413552064308014,0.06831802676981971,91981250818832.9,20439430804246.93,0.24374998377191295,0.02213130810067589,0.13947526012764094,0.02122205852391372
Fixed Cut 40.0%,245,102,162,39.80343980343981,N/A,N/A,4.212484979629517,0.5357434299850311,4.212484979629517,0.5357434299850311,0.09758736046576635,0.060837857142483055,0.08879217766857175,0.05509334587073027,0.013167541875030364,0.012686986471012515,0.17694342698557813,0.059467603941300656,0.1898254131653292,0.06545454604669736,0.04362293492358356,0.027292980190863594,212584923458851.34,56071702585799.945,0.29512235967870243,0.023054885972914916,0.16405833467967593,0.03464286489047373,0.3075031945070823,0.029454779450271956,0.43408185083508344,0.04154216126021182,0.4231807524024002,0.07440971185603591,53146230864712.984,14017925646449.982,0.25195545033692174,0.014436678559952313,0.16100739097017253,0.022673256447688302
Fixed Cut 45.0%,224,102,183,44.96314496314496,N/A,N/A,4.1567254066467285,0.49450366357526215,4.1567254066467285,0.49450366357526215,0.11408325952409791,0.05040785485248761,0.10522805013752226,0.046707435762813804,0.024357176871334835,0.01866769964028982,0.1347204487974313,0.024089210533334623,0.14348207083228182,0.02658165474138318,0.024543084553697973,0.006858719638829115,248030250811288.84,94367015444781.67,0.4675373443441058,0.04645990516480043,0.4538661614637911,0.1273688973814325,0.2885726502698232,0.036611242381721094,0.6167127375005961,0.07471633631373767,0.8848545604854084,0.19198998720836383,62007562702822.34,23591753861195.414,0.33324005070362644,0.015730828620880818,0.34690524584355814,0.05802089665992043
Fixed Cut 50.0%,204,102,203,49.877149877149876,N/A,N/A,4.389492416381836,0.9725681714698483,4.389492416381836,0.9725681714698483,0.1755183395583369,0.08175281785968427,0.1611999120167976,0.07577284525481502,0.053018295113145784,0.045918396277739026,0.1688332223387343,0.05549450279891145,0.18325784335275488,0.059894585181205225,0.043377294481064026,0.02712678349355454,259171752439972.16,48154023414570.31,0.4479747695676179,0.035800130717946334,0.3980654890564034,0.05272029239425906,0.2910196417929622,0.019773599224228878,0.843626080506478,0.049924973989302575,1.6529593045673012,0.1723380505564914,64792938109993.195,12038505853642.568,0.4090146513609121,0.023293184143946828,0.5368550958044785,0.048800895256688424
Fixed Cut 55.0%,184,102,223,54.791154791154796,N/A,N/A,4.530283832550049,1.1086421187671778,4.530283832550049,1.1086421187671778,0.1194761797200452,0.0753922897269752,0.109635250809253,0.06969851391763411,0.02765817446847533,0.029061463318219617,0.17236779140319158,0.03912148029460048,0.18756515770545934,0.04457191087064925,0.04679771186362168,0.01668165103575494,332212683810786.1,64944889507169.46,0.4418007195000175,0.02810371111036234,0.36164054224273173,0.06854178678760117,0.30304872569897917,0.03731687297062629,0.8709802802417946,0.10291514713507831,1.7456870409179037,0.39392248586618145,83053170952696.69,16236222376792.377,0.40249535206413106,0.03192653307483066,0.5454458673731831,0.09349714367003777
Fixed Cut 60.0%,163,102,244,59.95085995085995,N/A,N/A,3.480584955215454,0.5883487934632162,3.480584955215454,0.5883487934632162,0.13882251645058186,0.06674248115726619,0.12723186215896629,0.061703043591271343,0.03212800748211688,0.02687566869927686,0.13078892892966984,0.04595956733064661,0.14193561274244393,0.051734629406652764,0.030781638570965865,0.025467111038543128,187352317331132.94,43615413482168.41,0.4504702556603328,0.041006679246028695,0.4390006840853126,0.10304894953712979,0.3011578237411876,0.024233898826874385,0.8753078484705363,0.06627413429459651,1.7831591860735292,0.2475687136329658,46838079332783.375,10903853370542.111,0.39873639475806977,0.016160510284702143,0.5712673790529812,0.06114677030706905
Fixed Cut 65.0%,143,102,264,64.86486486486487,N/A,N/A,3.5372836112976076,0.48513590503712894,3.5372836112976076,0.48513590503712894,0.06726065397439665,0.040356249015093514,0.06709900922276511,0.04092442601887082,0.010653125670071088,0.010922054122571663,0.11198337815401918,0.020067136877877232,0.12233327384358975,0.02243806523344675,0.020657652888048224,0.006727239994171068,192797356633758.78,98397939604131.81,0.5515338767972322,0.03799134368868183,0.6731810344515297,0.11439291938225843,0.3342141621853009,0.02134433168054803,0.9551270125056177,0.05813335043007456,2.0582651980455453,0.23392633563041285,48199339158439.82,24599484901032.945,0.4240232930923011,0.014265034340146792,0.6906892527637984,0.03599231561931464
Fixed Cut 70.0%,123,102,284,69.77886977886978,N/A,N/A,2.932270812988281,0.21710867283164573,2.932270812988281,0.21710867283164573,0.09580872366905759,0.07613878836109485,0.0982702442547135,0.07850033778211192,0.026043416368147575,0.03254415376148945,0.1335525447644591,0.05488826002938228,0.14512632133062284,0.060652180680095834,0.03353683326251419,0.025354352156130727,218551209699022.25,53713524252171.98,0.6116725355057449,0.07128579599433618,0.8324742400570511,0.23090902548317427,0.3302200586203654,0.008187586945455835,0.9305645545649803,0.038338182046769025,1.9285087952552924,0.19406320808942285,54637802424755.695,13428381063042.988,0.44640841391401537,0.028462131595506604,0.7051408212357513,0.04195482689898883
Fixed Cut 75.0%,102,102,305,74.93857493857494,N/A,N/A,3.0584874629974363,0.439121747207693,3.0584874629974363,0.439121747207693,0.1213676496122181,0.041254568880391106,0.1250548830811114,0.04207920000289609,0.03221693658595947,0.01836261967776341,0.12343980040252782,0.02117355744732556,0.13431384225754348,0.023539839114489907,0.02534849566424886,0.008841920406997782,220284288078626.28,70530046029753.31,0.5832261138993157,0.050427528799772636,0.7417520110076716,0.13007617534832935,0.3308300249947994,0.03348436293886575,0.9449102333235023,0.0920322942649088,2.030357030192619,0.3684642909653156,55071072019656.72,17632511507438.33,0.4468762681403681,0.017929272522532277,0.7074186183626249,0.1071538814291553
Fixed Cut 80.0%,82,102,325,79.85257985257985,N/A,N/A,3.068640041351318,0.6278394423386096,3.068640041351318,0.6278394423386096,0.08385209766479249,0.03050729462406716,0.08604754923408199,0.03191054215501023,0.015393560010847521,0.01038862334845919,0.12685159499575616,0.031296472971402756,0.13917321175924144,0.03607231417195357,0.02695586826070773,0.013526941546510218,306934139118172.0,80020181661494.03,0.6100311315202289,0.03727791326848781,0.7679285616945933,0.1359744138523602,0.3295491901333026,0.058972900107921784,0.9458847048846766,0.16808193505520755,2.0789810922336702,0.7795670202951993,76733534779543.12,20005045415373.496,0.4452841493495571,0.05302187290356331,0.7223147705499549,0.2226459694314776
Fixed Cut 85.0%,62,102,345,84.76658476658476,N/A,N/A,2.943759632110596,0.3312216348759094,2.943759632110596,0.3312216348759094,0.1022348252523954,0.04032927302503591,0.10501187881829316,0.04170116792195001,0.023671057682608836,0.01537312697422117,0.1424077544246027,0.07974977021442461,0.17674662047175801,0.10195467018384725,0.06050103445894751,0.07636422117108593,138460079858302.5,74248223981846.5,0.9098085349311864,0.0864593872824559,2.0005918684829247,0.32200661634020744,0.34656298412968145,0.02838986935998666,0.9848375316280145,0.06910867126668381,2.1883083026383954,0.27513753082042114,34615019964575.773,18562055995461.65,0.544101141462313,0.058412898993727785,1.0682680658157189,0.1568480346354495
Fixed Cut 90.0%,41,102,366,89.92628992628993,N/A,N/A,3.451797533035278,0.42207408949756264,3.451797533035278,0.42207408949756264,0.4574788931289059,0.11851012598748682,0.5023197120157198,0.12961042607324347,0.5899896846496655,0.27804367440257394,0.3846590919388564,0.12342654615649733,0.48137102204522475,0.15500847273605364,0.4310332797354829,0.29516432601410314,162509164506541.38,90125840781313.06,173.8616894850285,0.27223445037443106,77625.37456216289,236.57190765256664,0.510400787617969,0.06419200849041612,1.4286012088049702,0.1974786661651443,4.578667855435563,1.4310615612110993,40627291126635.69,22531460195328.305,44.06849535697361,0.14903014696333222,19407.743563245673,59.47482237005083
Window L1,307,102,100,24.57002457002457,0.01416792869567871,0.0066331137161729625,3.92657675743103,0.501666144360649,3.940744686126709,0.504160514183736,0.07978087319729792,0.06056079874269255,0.07265539300694343,0.05510507876280604,0.010846746539724585,0.01309026034221364,0.23559383242546944,0.025227398973332787,0.2543896763582962,0.028824041007575088,0.07183233922034275,0.021606351132440613,360189719210057.6,78931771460087.47,0.28366644237912436,0.013216505085547694,0.11870430857921196,0.012928566915275611,0.31271757980555676,0.022179092908820017,0.4331505504926336,0.02544225440047566,0.4172195499396754,0.0443607659362504,90047429802514.55,19732942865021.883,0.2609655155592494,0.012474109438685094,0.15465073606973867,0.010791601061017812
Window L2,312,102,95,23.34152334152334,0.006907892227172851,0.0024584111539251653,3.816190767288208,0.20070940286197891,3.823098659515381,0.2014660465846506,0.0997465523007405,0.03589884500791223,0.09038897191986577,0.03307032340448391,0.012537737017613694,0.010868496095714516,0.24130600641691177,0.038071814884070736,0.26043021948786577,0.0417888846705976,0.07481340152010632,0.024308567969626826,339014309801182.3,64940081491619.02,0.28669884944174273,0.009584957949222338,0.12445043099103151,0.007807788705959934,0.29735952451246145,0.016153102888382224,0.40942804592082815,0.023466997139222637,0.3726129664761938,0.04117953666121743,84753577450295.75,16235020372904.768,0.26173652169257566,0.010156777866407764,0.14610363400123627,0.011706555907827076
Window Normal,137,102,270,66.33906633906635,0.016343355178833008,0.0016273069263577308,3.162622594833374,0.2504930065734415,3.178965950012207,0.2518678425195703,0.07425575959348436,0.03183483981181844,0.07601823390767842,0.033335268373109565,0.01274065542457371,0.010571366019856407,0.1295277992860191,0.05427876554092128,0.14186792817968966,0.0611078607829002,0.03554667038796862,0.03149308594948151,234731148758566.06,119430136309760.64,0.602968080354118,0.06276855057070638,0.8007448109395419,0.19913755398580082,0.32559583963528177,0.03491836870921335,0.9331706727759808,0.09245140720766146,1.9810784596088278,0.3629360963164374,58682787189641.66,29857534077440.16,0.4385062288043666,0.037959078301837944,0.707527649090228,0.11678101772821398
Window RBF,217,102,190,46.68304668304668,0.006652212142944336,0.0006765424011877405,3.4561148643493653,0.4187741635561688,3.4627670764923097,0.41838587052698456,0.07886606617882179,0.03209287676118958,0.07204582117890738,0.02951424208666737,0.009328418976810282,0.006582869322295891,0.14423483537725423,0.05870492060531687,0.15452713094113102,0.06445754180393369,0.031061612517827564,0.02580079485447707,256455942577917.62,122086063454841.12,0.4609856638493095,0.045933865577229685,0.42913128468263223,0.07673347958589764,0.3241223936138366,0.017498424555027516,0.9298017690084607,0.04755598630557416,1.9585315236617489,0.19307932544533454,64113985644479.55,30521515863710.29,0.40434009624445205,0.03685654591046378,0.6070132099597547,0.06947334500642846
Window Cosine,222,102,185,45.45454545454545,0.004523420333862304,0.001060647845436525,3.879854154586792,0.46681156835708254,3.8843775749206544,0.4663458254021041,0.12685292935120052,0.10805144233353307,0.11644577159506417,0.09989645115545621,0.036595735422565695,0.050917024875073595,0.19674430663962886,0.07184152637985705,0.21443667894885182,0.08062539252513232,0.06797868131900245,0.051591960779501636,203488539780400.28,139177809607242.78,0.44290301427730255,0.03857883746707774,0.4201788312437576,0.11632814899126444,0.34070203494717516,0.032446322377392756,0.8493530754963733,0.07956086705637817,1.6188737642772257,0.2919036078000662,50872134945100.24,34794452401810.707,0.40578463507939805,0.029978928499995193,0.5359067530656378,0.0772809087717718
Window Linear,282,102,125,30.71253071253071,0.007653665542602539,0.00034758576850430465,3.798029899597168,0.503264679950888,3.8056835651397707,0.5031874394188849,0.04563599428389943,0.03317825467680411,0.04119847290639216,0.029838415132394415,0.002902579435843668,0.0032417216423728332,0.20599907558480893,0.03748693736155457,0.22229596922344702,0.04131483768304465,0.05501686107942596,0.02077226703518694,407096466265176.7,147475353666743.0,0.2872232813087775,0.01923868823383987,0.12075128355869424,0.02356674787511748,0.28952098845511337,0.019901980890257947,0.40438030815784426,0.029018786153467032,0.36756077505116963,0.05097724653059206,101774116566294.3,36868838416685.74,0.23877450789911528,0.007993916455561849,0.13655787478128337,0.010383074512907263
Window Clinear,287,102,120,29.484029484029485,0.005595970153808594,0.000555997018522657,3.5103684425354005,0.5658498948276619,3.515964412689209,0.5657290525496247,0.08294931863654209,0.02515796299676991,0.07522998772654696,0.023120160521307352,0.008534241286990193,0.006291784262954292,0.20607401153155316,0.022859219841056527,0.22036455687796236,0.024379029700038586,0.05172181709390778,0.011877278550399046,401733939355010.2,43081719672774.35,0.2977565485683753,0.019154120426801893,0.1270419119018175,0.023574365091092325,0.27771404513702014,0.025061558854600628,0.3825735055932619,0.03759003780302388,0.3286954815224267,0.06404383687998641,100433484838752.69,10770429918193.584,0.2439811496915367,0.019405418403108544,0.12899836295128553,0.02191756220980725
Window Rank,127,102,280,68.7960687960688,0.012171792984008788,0.0012919287425822018,2.9584445476531984,0.23092264373996013,2.970616340637207,0.23175319759714383,0.06960774554036794,0.02240965196352053,0.07133625236209425,0.023523606610853082,0.009804227605696509,0.007209246863164168,0.11174788801887059,0.033607225836861626,0.1207345239623818,0.03646363590195909,0.02122757508802332,0.013459073608533403,158265580993077.16,38755209364878.87,0.573946026023035,0.040984130699717396,0.750314883019798,0.11538444011702721,0.33067568096086214,0.024960711243905934,0.9412723050328757,0.06808595141379603,1.9908934980773656,0.27842241137857165,39566395248269.42,9688802341219.729,0.4268222768450966,0.020518958021262364,0.6930600459477209,0.06069916788770562
